POLISH,ENGLISH
panny,bridal
nogami,legs
pociągu,train
ostrzec,warn
be,bey
wracajcie,come back
przeszedł,gone
właścicielem,owner
żal,Attachment
zabójcy,killer
przychodzą,coming
pułkownik,colonel
użył,used
niezwykle,unusually
drew,drew
płacą,wage
gorąca,hot
konto,account
resztą,rest
występ,performance
myślała,she thought
załóż,put on
jay,jay
któremu,to
dzieciaku,kid
zaczną,willing
wróciłam,I'm back
zaczęłam,I started
komórkę,mobile
żarty,jokes
cudowny,wonderful
niebezpieczeństwo,danger
próbują,try
zamknięty,closed
cena,price
jordan,Jordan
bani,bean
użyj,use
lekko,slightly
opuścił,dropped
pary,pair
znajomych,familiar
szyi,neck
dach,roof
wayne,Wayne
gaz,gas
zamknięta,closed
odwagi,courage
zasada,principle
miliona,million
ofiarę,sacrifice
każdemu,any
mieliście,you had
koncert,concert
samotna,lonely
pozostałych,remaining
piętro,floor
pewności,confidence
każ,each
randy,random
odbiło,bounced
młodych,young
magii,magic
idiotą,idiot
liczę,count
siłą,strength
głupiego,foolish
ledwie,hardly
wybieram,choose
donna,donna
beth,Beth
ciężka,heavy
laska,grace
powody,grounds
tyler,tyler
cieszyć,enjoy
rozumiemy,we understand
kurczaka,chicken
komputera,computer
catherine,Catherine
zamek,lock
wyglądała,she looked
scenę,scene
członkiem,member
rzucił,threw
greg,greg
prosiłem,I asked
michelle,michelle
przyjdą,they will come
próbujemy,we try
światem,world
zaczynaj,start
imprezie,event
uratował,saved
przypominam,I remind you
pieniędzmi,money
zrozumiałeś,you understood
poziomie,level
rogu,corner
laura,laura
choćby,even
bogaty,rich
straciłeś,you have lost
robili,made
swej,in
składa,consistent
wyjechał,fetch
sprowadzić,bring down
starczy,senile
pola,flap
przeprowadzić,carry out
pytaj,Ask
wbrew,against
toalety,toilets
zachowuje,behave
zasięgu,range
tacie,daddy
domów,homes
przeszkadzać,to disturb
śmiesz,laugh
kara,penalty
akcja,share
wolnego,free
niesamowicie,amazing
bruce,bruce
naturalnie,naturally
najwyższy,highest
sukinsynu,sukinsin
paryżu,paris
historie,stories
gramy,grams
wchodzić,enter
start,start
sprawiedliwość,Justice
zmusić,force
wygra,win
weźmie,will
can,can
zaatakował,he attacked
podzielić,to divide
szeryf,sheriff
zabrała,she took
dzieciom,children
chęcią,desire
przyznaję,admonish
man,man
margaret,margaret
roy,roe
bzdura,nonsense
latać,fly
bić,to beat
sezon,season
agentem,agent
re,re
grupę,group
wspólnie,together
liz,lick
cieszy,glad
patrick,patrick
casey,Casey
ufasz,trouble
każe,mutton
linię,line
właściciel,owner
zrobiło,done
butów,shoe
upewnij,make sure
krzyczeć,scream
uwielbia,loves
odbiera,receives
największym,biggest
zgadnę,guess
zadaniem,task
morza,sea
lasu,forest
stół,table
gwiazd,star
bezpieczni,secure
wrażeniem,impression
zamienić,convert
większości,most
spojrzenie,look
zakład,bet
powoduje,causes
wiedzy,knowledge
garażu,garage
lekarstwo,medicine
gardło,throat
białego,white
specjalne,special
żywy,alive
kościele,church
numery,numbers
stron,pages
anioł,Angel
poniżej,below
próbowałeś,you tried
próbować,to try
zeznania,testimony
zebrać,gather
procesu,process
znaleźliście,you have found
pocałować,kiss
zauważył,noticed
fantastycznie,fantastic
yo,yo
uczuć,feel
powtórzyć,to repeat
alkohol,alcohol
rachunki,bills
radzi,advises
robiliśmy,we did
ubranie,cloth
więzienie,prison
jacka,jack
krótko,short
zaprosić,invite
bohater,character
dostałaś,you got
zapłacił,he paid
potwór,monster
nosisz,you wear
roli,role
skup,purchase
związane,related
mordercy,murderer
nancy,nancy
dowiesz,you will learn
świadek,witness
ciepło,heat
koledzy,mates
plecami,back
umieścić,put
caroline,caroline
natury,natura
uderzyć,hit
wyjaśnię,explain
któryś,one
straty,loss
natalie,natalie
sprawdzam,checking
wchodzimy,we are entering
mili,mile
granicę,border
pilnuj,look after
trafić,hit
warta,guard
h,h
spróbujmy,let's try
trzeciej,third
ostatecznie,ultimately
sophie,sophie
wspaniałą,gorgeous
ziemią,Earth
whoa,whoa
draniu,bastard
oddzwonię,call
gorące,hot
morze,sea
rośnie,grows
drzwiach,door
poznał,met
howard,howard
pożar,fire
pojawia,appearing
uważają,they think
laski,sticks
odwróć,reverse
zajmuję,I occupy
przyjaźń,friendship
zabiera,takes
płaszcz,coat
stworzył,set
magia,magic
king,king
sercem,heart
zdolny,capable
sprzeciw,objection
dziury,hole
niebieski,blue
porę,time
kamera,camera
wydziału,department
maszyna,machine
przejąć,take over
towarzystwa,companionship
lecimy,we fly
dużego,big
niespodziankę,surprise
mieszkał,lived
czwartek,Thursday
baw,bauble
brown,brown
świętego,holy
trzecia,third
zwolnij,Slow
odbierz,collect
cooper,Cooper
telefonie,telephone
próbę,attempt
stanąć,string
małżeństwem,marriage
kapelusz,hat
dokończyć,to finish
niedzielę,Sunday
pańską,Lord
spał,slept
księżyca,moon
przestępstwo,offense
wchodź,come
zabicie,killing
kazałem,I told
powiedziano,said
przyjęciu,acceptance
cycki,tits
wrogiem,enemy
nadzieja,hope
piętrze,floor
west,west
lucas,lucas
oj,oh
zasługujesz,you deserve
przestaniesz,stop
wersja,version
ashley,ashley
ekstra,extra
wysłałem,I send
sposobu,method
uroczy,cute
punktów,point
bok,side
jedźmy,let
umysłu,mind
pozostanie,stay
przewagę,advantage
starą,old
doskonały,perfect
paige,paige
spotkałam,I met
ogromne,huge
zabawę,fun
zemsty,vengeance
kierowca,driver
następną,next
strzały,shots
propozycję,suggestions
kamerę,cameras
kolei,railway
bezpośrednio,directly
poddać,surrender
spencer,spencer
doug,doug
wyjdziemy,leave
opowieść,story
szeryfa,sheriff
hm,hm
carrie,Carrie
aucie,car
johnson,johnson
zostawiłeś,you left
so,so
dzieciaków,kids
sprzed,before
urocze,cute
namierzyć,taste
powierzchni,surface
młodą,young
taak,taum
marcus,marcus
wybierz,choose
dana,dana
dodać,to add
obowiązki,duties
zmierza,face
big,big
prowadził,led
abyśmy,for us
wujka,uncle
wersji,version
samochodów,car
osobie,about yourself
zgodził,agreed
ukrywać,hide
szampana,champagne
wejdzie,entering
ów,that
ostro,sharply
el,el
agentów,agents
paryża,paris
kina,cinema
zrozumiałam,I understood
kenny,kenny
scenie,scene
pańskiego,Lord
ho,ho
zaszło,happened
zoe,zoe
wielkich,large
świetle,light
zadzwoniła,she called
napisałem,I wrote
he,he
vincent,vincent
łapy,paw
wprowadzić,to introduce
spędziłem,I spent
college,college
niesamowita,amazing
nóg,legs
angela,Angela
opowiem,I will tell you
większą,bigger
kiepsko,poorly
paula,paula
zjedz,eat
wtorek,Tuesday
lato,summer
zaginął,miss
tożsamość,identity
słucha,listen
ksiądz,priest
imperium,empire
wal,shaft
alkoholu,alcohol
dziwna,odd
derek,dessert
wyobrażam,I imagine
przyszliśmy,we came
wojska,army
okropny,terrible
bałem,scar
victor,victor
podejść,approach
zgaduję,I guess
dziewczynką,girl
sny,dreamy
policjant,policeman
zabawić,entertain
what,wheat
bazie,base
obcych,foreign
straciła,lost
dwójka,two
oszalałeś,daze
mamusia,Mommy
wozu,wagon
zaledwie,just
byłbyś,you would be
bierzemy,weep
księcia,prince
zmieniają,change
dzielić,to share
michaela,michael
mistrzem,Master
riley,riley
skończyłeś,you're done
płacę,salaries
postać,character
świetną,great
kalifornii,California
sprawdźmy,let
im.,them.
przyznał,He admitted
hollywood,hollywood
próby,attempts
czuła,felt
pusty,empty
strój,outfit
śledztwa,investigation
holly,holly
porozmawiaj,let's talk
mm,mm
zostawiłam,I left
lou,loos
krzywdy,scent
most,bridge
kimkolwiek,one
mocniej,harder
maszyny,machinery
parkingu,parking
wróciłaś,you came back
nocą,at night
przestanie,stopped
biedna,poor
radzisz,you advise
wydajesz,do
puste,empty
przyjaciółki,friends
domy,houses
pragnie,desires
zajmujesz,do
kontaktu,contact
biurku,desk
piekle,hell
boją,buoy
wendy,wendy
wymyślić,invent
międzyczasie,in the meantime
ścianie,wall
jem,eat
sieć,network
starej,old
twardy,hard
wygląd,appearance
przeciwnie,contrary
zamku,castle
obozie,camp
kobietami,women
ogromny,huge
tajne,secret
przekaż,message
linia,line
sue,Sue
piszę,I'm writing
ścianę,wall
frx0,FRX0
wrócą,come back
ulubione,favorite
zatrzymał,stopped
stoisz,stand
bolało,hurt
załogi,crew
nazwał,call
odchodzę,league
lotu,flight
zostajesz,you stay
pewnej,certain
potwierdzić,to confirm
skończymy,we finish
karta,card
zdania,sentence
sukienkę,dress
zbadać,examine
dałaś,you gave
wzrok,eyesight
spotyka,fetch
przyjechała,she came
mądra,wise
noga,leg
myślimy,weigh
dużym,big
tłum,crowd
młodego,young
przeżył,survivor
dług,debt
zarzuty,allegations
radość,joy
oku,ok
wydarzy,of
zgłosić,to report
przybycie,arrival
obecności,presence
toby,it would
zrobiliście,did
zastrzelić,shoot
ciociu,aunt
shane,shane
drużynie,team
kapitanem,captain
posterunek,post
spada,falling
dostępu,access
ciuchy,clothes
specjalnego,special
zgodę,agreement
dziadka,grandfather
oskarżony,accused
dowodzi,behoof
czoła,forehead
gibbs,gibbs
wycieczkę,trips
dotknąć,touch
napad,attack
motyw,theme
czarną,black
nowo,newly
rozmawiasz,you are talking
grupahatak.pl,GroupHatak.pl
jork,york
dziurę,hole
obudzić,awaken
sprawi,causing
maja,May
badanie,test
teoria,theory
pamiętajcie,remember
wioski,village
sprzedaży,sales
świetnym,great
agencji,agency
kiepski,bad
francisco,francisco
próbki,sample
spróbujemy,We will try
adrian,adrian
oba,both
kuzyn,cousin
dłonie,hands
chodzę,I'm walking
napewno,definitely
odpowiedni,right
toast,toast
portfel,wallet
idealna,ideal
zeby,to
ellen,Ellen
wygrałem,I won
liczba,number
wyszedłem,I left
kwestii,issue
spotkał,met
puścić,let go
nazwa,name
licha,solid
święto,holiday
wzajemnie,mutually
pudełko,box
pieprzone,pepper
kup,buy
zakochany,in love
house,house
informację,information
rynku,market
mylę,mist
przeraża,frighten
b.,b.
ochronić,protect
dzisiejszy,tonight
kolesia,dug
przejście,transition
opowieści,story
rękami,hands
swych,sewing
dzwoniłem,I called
gniew,anger
lodu,ice
programie,program
przepraszamy,We apologize
wchodzisz,you come
prezenty,gifts
znoszę,I stand
fakty,facts
zgody,consent
nazywamy,we call
kupę,pup
zbieg,fugitive
fajna,cool
zadania,works
wilson,wilson
torby,bag
niezupełnie,not exactly
wartość,value
zdecydować,decide
chodzisz,you walk
wyjątkowy,exceptional
lane,lane
zmieniać,change
telewizor,TV set
udziału,participation
uderzenie,hit
brał,palace
wyspy,island
zrobiłbym,I would do
bywa,somewhat
częściej,often
przerażające,scary
obrzydliwe,disgusting
filmów,films
taksówkę,taxi
randki,dating
uważajcie,beware
popełnił,committed
zaufania,trust
młodzi,young
zasnąć,fall asleep
myśleli,thought
ciał,bodies
śnie,dream
nożem,knife
planem,plan
konta,accounts
przyszły,future
garnitur,suit
zabójcą,killer
podobny,like
uczy,teaches
załatw,settlement
wysokie,high
oczekuję,expect
domyślam,imagine
przyniósł,he brought
zdenerwowany,angry
zależało,dependent
opiekę,care
brzuch,belly
parą,couple
spadł,fell
przespać,sleep
przekonany,convinced
jennifer,jennifer
przyjemności,pleasure
prokurator,prosecutor
otwarty,open
właściwe,right
papier,paper
urazy,injury
baby,baby
uprawiać,grow
dziwką,slut
pytałem,I asked
planów,plans
pas,crimson
matthew,Matthew
obszar,area
niedorzeczne,ridiculous
hannah,Hannah
okręt,ship
współpracować,cooperate
punkty,Points
ślepy,blind
kawałków,pieces
złamać,break
quinn,quinn
nastąpi,come to
ulicę,street
wideo,video
pojedziesz,leave
obiecałeś,you promised
racje,rations
zginęli,died
łap,paw
interesów,interest
złap,catch
kupiłam,I bought
nienawidzisz,you hate
ciałem,body
jess,jess
zapłaci,paid
homer,homer
wirus,virus
stoję,stand
ramiona,arms
wyjaśnia,explain
silne,strong
dostarczyć,deliver
drań,prick
formie,form
dzielnicy,district
pozostałe,the remaining
królowej,queen
zbudować,build
większego,greater
teddy,teddy
leków,drug
powtarzać,to repeat
dodatkowe,additional
nazwę,name
otwarcie,openly
zwykłe,usually
twe,treble
pilnować,watch
potrzebujecie,I need you
poważnego,serious
allison,Allison
obserwować,observe
phoebe,phoebe
ilości,quantity
chciałaby,she would like
jadą,go
zwolniony,released
miller,miller
data,date
uczynić,make
shawn,Shawn
ochoty,foul
komandorze,commander
mięsa,meat
emocje,emotions
sydney,Sydney
pomogła,helped
cięcie,cutting
zombie,zombie
twierdzisz,you say
pada,fallow
książek,books
trop,clue
białym,white
ostrzeżenie,warning
poszukiwania,search
amerykanie,Americans
kamer,cameras
godzinie,hour
prezydentem,president
jebany,jewish
zdrowy,healthy
pozostali,remaining
zranić,hurt
posiłek,meal
robiłaś,you made
dzieło,work
kochałam,I loved
odwrócić,reverse
trzymają,hold
raj,paradise
zakończenie,end
szczera,honest
pasują,fit
trafi,will
planetę,planet
oświadczenie,statement
włóż,put on
leć,lie down
lekarstwa,medicine
traci,losing
różnicy,difference
carlos,carlos
powrocie,return
lubił,liked
podobają,like
zaczynać,begin
ann,Ann
zgodzić,agree
klatce,cage
hill,hill
steven,steven
justin,justin
pocałunek,kiss
megan,Megan
davis,davis
brad,brad
podejrzanych,suspicious
stracę,stretch
prawdziwej,TRUE
słyszycie,hear
ludzkości,humanity
stałem,permanently
odpuścić,forgive
trwało,lasting
todd,todd
nauka,science
kumpla,buddy
kontakcie,contact
powstrzyma,stoppers
poznaj,meet
podobnego,similar
rozmiar,size
świeże,fresh
zaczęły,began
zmieniłeś,you changed
przyniesie,bring
lekcji,lesson
ekipa,team
gus,gus
linie,lines
bitwy,battle
chorobę,disease
ali,ali
dowiedzą,find out
byłabym,I would be
dbam,I care
burza,storm
aparat,the camera
fanem,fan
lód,ice
radości,joy
gordon,gordon
zaczekajcie,Wait
zadowolona,satisfied
poczułem,I felt
uzyskać,obtain
spotykamy,we meet
należą,belong
biorą,take
odejdę,leave
prędkość,speed
audrey,Audrey
mistrza,champion
zaprosił,invited
ethan,Ethan
umierają,die
chuj,dick
diabeł,Devil
wybiera,chooses
złapał,caught
bałam,I was scared
pij,drink
lepszą,better
energię,energy
powinnyśmy,We should
umierać,die
niemcy,Germany
smutna,sad
jezusa,Jesus
psem,dog
poradzimy,we advise
głębi,depth
ian,ian
tańca,dance
próbowaliśmy,we tried
pijesz,you drink
szczyt,peak
przestrzeń,space
wspaniałym,wonderful
dyrektora,director
wróg,enemy
książce,book
spałem,I slept
zawiera,contains
piję,drinking
zbierać,collect
julian,julian
zabierzemy,weep
kurwy,whore
postaraj,try
tatusia,daddy
wyspę,island
dochodzenie,investigation
wezwanie,call
słyszeliśmy,we heard
humoru,humor
marie,marie
przynosi,brings
prokuratora,prosecutor
rządzi,ruler
bije,beating
delikatnie,gently
szczegółów,details
stu,stole
agenci,agents
przyjaźni,friendship
przeszła,overgrown
tył,back
wesele,wedding reception
anne,anne
zabawna,funny
odchodź,draft
zestaw,set
nicole,nicole
wzdłuż,along
przejdźmy,Let's get
pierwszych,first
przerwać,interrupt
dziwko,whore
know,know
posiadanie,possession
wracajmy,let's go back
powtórzy,repeat
zębów,teeth
siedmiu,seven
traktować,treat
wybuch,explosion
toma,it has
bart,bird
kasa,cash register
wątpienia,doubts
up,up
miss,miss
miałaby,she would have
wyjeżdżam,I am leaving
russell,russell
rodzinne,family
cudowna,wonderful
skończone,finished
stworzenia,creation
dobro,good
pułapka,trap
lauren,lauren
poślubić,marry
udawaj,pretend
celowo,deliberately
policjantem,policeman
strażnik,guard
piłka,ball
moce,mice
penny,penny
amanda,amanda
stali,steel
ciężarówki,truck
gazu,gas
hello,hello
pozostało,remaining
zwykła,ordinary
znajdziecie,you will find
pańskim,Lord
model,model
ooh,ooh
zrozumie,understand
oczekuje,expected
łzy,tears
walczy,fights
kazała,she told
próbowali,they tried
pogodzić,reconcile
white,white
czegokolwiek,anything
drinki,drinking
grant,grant
wybaczy,forgive
imieniem,named
k,k
internecie,internet
sędziego,judge
domku,cottage
waż,snake
rzeczami,inject
sceny,scene
kariery,career
szoku,shock
całość,whole
największe,biggest
ameryka,America
ser,cheese
mieszkańców,residents
zmieniłem,I changed
jakbyśmy,as if we
nagroda,award
włączyć,to turn on
marzeń,dreams
granice,boundaries
pierdolony,fucking
oczyścić,clean
poczekam,I will wait
samotnie,alone
potrzebowałem,I needed
wstań,stake
sprzedaje,sell
oliver,oliver
honor,honor
malcolm,malcolm
usług,service
with,with
this,this
trening,training
córce,daughter
keith,keith
św.,St.
nagrody,awards
ciocia,Auntie
klatki,cages
postaci,figure
wyścig,race
magazynu,warehouse
skóra,leather
góra,Mountain
policją,Police
rozum,mind
stolik,table
hałas,noise
fry0,Fry1
straż,guard
wdzięczna,thankful
przestępstwa,crime
lecę,float
patrzył,starter
odwagę,courage
nauczyciel,teacher
niezależnie,independently
wolałabym,I would prefer
zastanawiałam,wondering
narzędzia,tools
nadaje,giving
mario,mario
plemię,tribe
wypuścić,release
konsekwencje,consequences
wyobrażasz,imagine
burmistrz,mayor
odpowiednie,appropriate
jacy,which
tracy,tracy
sekcji,section
zobaczą,see
organizacji,organization
dennis,Dennis
rory,rora
bonnie,bonnily
następnej,next
numeru,number
zarówno,both
każę,reputation
zabiłam,I killed
normalny,normal
mogliby,they could
chore,chore
południowej,southern
doprowadzić,bring
dnie,bottom
odsunąć,remove
dostajesz,you get
pierce,pierce
śmiać,laugh
siak,sag
miałbyś,you would have
poprawki,amendments
używają,use
miastem,city
sorry,sorry
rozdział,chapter
śnieg,snow
pośród,among
trener,coach
potworem,monster
zostawisz,you will leave
gada,gada
dzwonisz,bell
przemyśleć,think
martwego,dead
porządek,order
tymczasem,meanwhile
mickey,mickey
kluczem,key
przyniosłam,I brought
służbie,service
rob,rob
dylan,Dylan
potwora,monster
g,g
wiedz,knowledge
plecach,back
stołu,table
źli,bad
rozmów,conversation
zauważyłeś,you noticed
jesz,you eat
pije,drink
grają,play
whisky,whiskey
dotykać,touch
najgorszy,the worst
dostaję,I get
spokojny,calm
lotnisku,airport
drobne,small
wniosek,application
niemu,not him
planeta,planet
ryba,fish
zielone,green
złość,anger
dziewczynami,girl
chleb,bread
dziesięciu,ten
porno,porn
gościu,guest
fałszywe,FALSE
szybkie,fast
wezwij,call
siedź,sit
nielegalne,illegal
zajął,fierce
pracowałam,I worked
widocznie,apparently
dziewczęta,girls
pomyślę,think
emeryturę,retirement
cele,goals
zakaz,prohibition
karę,punishment
spotka,meet
szukałam,I was looking for
zamordowany,murdered
nogach,legs
magazyn,warehouse
wierzą,believe
czekałam,I waited
pojawiła,appeared
odmówić,to refuse
taaa,taaa
lunchu,lunch
madame,Madame
haven,haven
janet,janet
przeciwnym,opposite
pewnych,certain
września,September
tamtą,that
róbcie,do
wisi,hang
zauważyć,to notice
zniknąć,disappear
osobności,separation
powiedzą,will
ron,ron
zrezygnować,give up
zjemy,weigh
księżniczka,Princess
brachu,brach
stracisz,you will lose
kość,bone
oskarżenia,accusations
myli,miserable
śledzić,to track
chodził,he went
lekarzy,doctors
wyszłam,I left
miles,mile
spróbuje,triggers
stopnia,degree
tabletki,pills
smutny,sad
walker,walker
przyjechałeś,you came
kitty,kitty
rozpocząć,to begin
randce,dating
przygotujcie,prepare
pragniesz,desire
zauważyłam,I noticed
poświęcić,spend
ceny,prices
cios,blow
włożyć,insert
jersey,jersey
bylo,was
czarnych,black
myślenia,thinking
odwołać,cancel
dowódca,commander
hasło,password
kanapie,sofa
noszę,stretcher
zastrzelił,shot
dusze,souls
anthony,Anthony
prośbę,request
skarb,treasure
tamto,that
minie,pass
miłej,nice
connor,Connor
szczęśliwe,happy
odkryć,discover
wzięłam,I took
zniknie,disappear
sztukę,art
sprawdźcie,check
liczby,numbers
posterunku,perpetrator
najwidoczniej,apparently
black,black
wychodź,exhaust
ciążę,pregnancy
blake,blake
rebecca,rebecca
liam,liam
rozmawiałaś,you talked
wracają,they are coming back
krótkie,short
wszelki,any
prochy,ashes
pilot,remote
pocałuj,kiss
adwokat,advocate
otworzę,open
psów,dog
trzecie,third
twierdzą,fortress
lord,lord
kule,crutches
wrócili,they returned
zadziałało,work
zazdrosna,jealous
długą,long
zgubiłem,I lost
martwe,dead
obiecał,he promissed
sprawdzimy,we will check
wydał,spent
koszulę,shirts
pełny,full
pamiętacie,you remember
samolocie,plane
czarnym,black
pałacu,palace
wygodnie,comfortably
zaklęcie,spell
wpadnę,fell
światu,worldly
ustach,mouth
get,Get
zrozumiał,understood
krzesło,chair
planuje,planning
tatuaż,tattoo
niezwykłe,unusually
ptaki,birds
stanowi,stipulate
spotkam,meet
poczekajcie,wait
płynie,flows
spotkajmy,meet
stanley,stanley
zabierzesz,take
pobytu,stay
klasa,grade
wirusa,virus
największą,biggest
glina,clay
wojsko,army
białych,white
neil,neil
wsi,village
jacyś,some
przysięgłych,jury
kochała,she loved
wściekła,angry
geniuszem,genius
chodzą,walk
morzu,sea
wyrwać,break out
lewis,lewis
kogokolwiek,anyone
mówiliśmy,we talked
miewa,shine
dadzą,they will give
linda,londa
noce,nonsense
mocne,strong
